,year,state,county,candidate,party,candidatevotes
41143,2016,Alabama,Greene,Hillary Clinton,DEM,4013.0
41144,2016,Alabama,Greene,Donald Trump,REP,838.0
41145,2016,Alabama,Greene,Other,,29.0
41146,2016,Alabama,Hale,Hillary Clinton,DEM,4775.0
41147,2016,Alabama,Hale,Donald Trump,REP,3173.0
41148,2016,Alabama,Hale,Other,,92.0
41149,2016,Alabama,Henry,Hillary Clinton,DEM,2292.0
41150,2016,Alabama,Henry,Donald Trump,REP,5632.0
41151,2016,Alabama,Henry,Other,,148.0
41152,2016,Alabama,Houston,Hillary Clinton,DEM,10664.0
41153,2016,Alabama,Houston,Donald Trump,REP,30728.0
41154,2016,Alabama,Houston,Other,,1247.0
41155,2016,Alabama,Jackson,Hillary Clinton,DEM,3673.0
41156,2016,Alabama,Jackson,Donald Trump,REP,16672.0
41157,2016,Alabama,Jackson,Other,,639.0
41158,2016,Alabama,Jefferson,Hillary Clinton,DEM,156873.0
41159,2016,Alabama,Jefferson,Donald Trump,REP,134768.0
41160,2016,Alabama,Jefferson,Other,,12550.0
41161,2016,Alabama,Lamar,Hillary Clinton,DEM,1036.0
41162,2016,Alabama,Lamar,Donald Trump,REP,5823.0
41163,2016,Alabama,Lamar,Other,,107.0
41164,2016,Alabama,Lauderdale,Hillary Clinton,DEM,9952.0
41165,2016,Alabama,Lauderdale,Donald Trump,REP,27899.0
41166,2016,Alabama,Lauderdale,Other,,1674.0
41167,2016,Alabama,Lawrence,Hillary Clinton,DEM,3627.0
41168,2016,Alabama,Lawrence,Donald Trump,REP,10833.0
41169,2016,Alabama,Lawrence,Other,,369.0
41170,2016,Alabama,Lee,Hillary Clinton,DEM,21230.0
41171,2016,Alabama,Lee,Donald Trump,REP,34617.0
41172,2016,Alabama,Lee,Other,,3344.0
41173,2016,Alabama,Limestone,Hillary Clinton,DEM,9468.0
41174,2016,Alabama,Limestone,Donald Trump,REP,29067.0
41175,2016,Alabama,Limestone,Other,,1759.0
41176,2016,Alabama,Lowndes,Hillary Clinton,DEM,4883.0
41177,2016,Alabama,Lowndes,Donald Trump,REP,1751.0
41178,2016,Alabama,Lowndes,Other,,50.0
41179,2016,Alabama,Macon,Hillary Clinton,DEM,7566.0
41180,2016,Alabama,Macon,Donald Trump,REP,1431.0
41181,2016,Alabama,Macon,Other,,143.0
41182,2016,Alabama,Madison,Hillary Clinton,DEM,62822.0
41183,2016,Alabama,Madison,Donald Trump,REP,89520.0
41184,2016,Alabama,Madison,Other,,11047.0
41185,2016,Alabama,Marengo,Hillary Clinton,DEM,5615.0
41186,2016,Alabama,Marengo,Donald Trump,REP,5233.0
41187,2016,Alabama,Marengo,Other,,146.0
41188,2016,Alabama,Marion,Hillary Clinton,DEM,1432.0
41189,2016,Alabama,Marion,Donald Trump,REP,11274.0
41190,2016,Alabama,Marion,Other,,278.0
41191,2016,Alabama,Marshall,Hillary Clinton,DEM,4917.0
41192,2016,Alabama,Marshall,Donald Trump,REP,29233.0
41193,2016,Alabama,Marshall,Other,,1166.0
41194,2016,Alabama,Mobile,Hillary Clinton,DEM,72186.0
41195,2016,Alabama,Mobile,Donald Trump,REP,95116.0
41196,2016,Alabama,Mobile,Other,,5435.0
41197,2016,Alabama,Monroe,Hillary Clinton,DEM,4332.0
41198,2016,Alabama,Monroe,Donald Trump,REP,5795.0
41199,2016,Alabama,Monroe,Other,,144.0
41200,2016,Alabama,Montgomery,Hillary Clinton,DEM,58916.0
41201,2016,Alabama,Montgomery,Donald Trump,REP,34003.0
41202,2016,Alabama,Montgomery,Other,,2959.0
41203,2016,Alabama,Morgan,Hillary Clinton,DEM,11254.0
41204,2016,Alabama,Morgan,Donald Trump,REP,37486.0
41205,2016,Alabama,Morgan,Other,,1904.0
41206,2016,Alabama,Perry,Hillary Clinton,DEM,3824.0
41207,2016,Alabama,Perry,Donald Trump,REP,1407.0
41208,2016,Alabama,Perry,Other,,47.0
41209,2016,Alabama,Pickens,Hillary Clinton,DEM,3972.0
41210,2016,Alabama,Pickens,Donald Trump,REP,5456.0
41211,2016,Alabama,Pickens,Other,,114.0
41212,2016,Alabama,Pike,Hillary Clinton,DEM,5056.0
41213,2016,Alabama,Pike,Donald Trump,REP,7693.0
41214,2016,Alabama,Pike,Other,,419.0
41215,2016,Alabama,Randolph,Hillary Clinton,DEM,2291.0
41216,2016,Alabama,Randolph,Donald Trump,REP,7705.0
41217,2016,Alabama,Randolph,Other,,191.0
41218,2016,Alabama,Russell,Hillary Clinton,DEM,9579.0
41219,2016,Alabama,Russell,Donald Trump,REP,9210.0
41220,2016,Alabama,Russell,Other,,467.0
41221,2016,Alabama,St. Clair,Hillary Clinton,DEM,5589.0
41222,2016,Alabama,St. Clair,Donald Trump,REP,31651.0
41223,2016,Alabama,St. Clair,Other,,1160.0
41224,2016,Alabama,Shelby,Hillary Clinton,DEM,22977.0
41225,2016,Alabama,Shelby,Donald Trump,REP,73020.0
41226,2016,Alabama,Shelby,Other,,5257.0
41227,2016,Alabama,Sumter,Hillary Clinton,DEM,4746.0
41228,2016,Alabama,Sumter,Donald Trump,REP,1581.0
41229,2016,Alabama,Sumter,Other,,84.0
41230,2016,Alabama,Talladega,Hillary Clinton,DEM,12121.0
41231,2016,Alabama,Talladega,Donald Trump,REP,20614.0
41232,2016,Alabama,Talladega,Other,,672.0
41233,2016,Alabama,Tallapoosa,Hillary Clinton,DEM,5519.0
41234,2016,Alabama,Tallapoosa,Donald Trump,REP,13594.0
41235,2016,Alabama,Tallapoosa,Other,,373.0
41236,2016,Alabama,Tuscaloosa,Hillary Clinton,DEM,31762.0
41237,2016,Alabama,Tuscaloosa,Donald Trump,REP,47723.0
41238,2016,Alabama,Tuscaloosa,Other,,3215.0
41239,2016,Alabama,Walker,Hillary Clinton,DEM,4497.0
41240,2016,Alabama,Walker,Donald Trump,REP,24266.0
41241,2016,Alabama,Walker,Other,,709.0
41242,2016,Alabama,Washington,Hillary Clinton,DEM,2374.0
41243,2016,Alabama,Washington,Donald Trump,REP,6042.0
41244,2016,Alabama,Washington,Other,,117.0
41245,2016,Alabama,Wilcox,Hillary Clinton,DEM,4339.0
41246,2016,Alabama,Wilcox,Donald Trump,REP,1737.0
41247,2016,Alabama,Wilcox,Other,,42.0
41248,2016,Alabama,Winston,Hillary Clinton,DEM,872.0
41249,2016,Alabama,Winston,Donald Trump,REP,9228.0
41250,2016,Alabama,Winston,Other,,213.0
41251,2016,Alaska,District 1,Hillary Clinton,DEM,2573.0
41252,2016,Alaska,District 1,Donald Trump,REP,3180.0
41253,2016,Alaska,District 1,Other,,885.0
41254,2016,Alaska,District 2,Hillary Clinton,DEM,1585.0
41255,2016,Alaska,District 2,Donald Trump,REP,3188.0
41256,2016,Alaska,District 2,Other,,719.0
41257,2016,Alaska,District 3,Hillary Clinton,DEM,1241.0
41258,2016,Alaska,District 3,Donald Trump,REP,5403.0
41259,2016,Alaska,District 3,Other,,969.0
41260,2016,Alaska,District 4,Hillary Clinton,DEM,4162.0
41261,2016,Alaska,District 4,Donald Trump,REP,4070.0
41262,2016,Alaska,District 4,Other,,1289.0
41263,2016,Alaska,District 5,Hillary Clinton,DEM,3187.0
41264,2016,Alaska,District 5,Donald Trump,REP,3683.0
41265,2016,Alaska,District 5,Other,,1036.0
41266,2016,Alaska,District 6,Hillary Clinton,DEM,2536.0
41267,2016,Alaska,District 6,Donald Trump,REP,4929.0
41268,2016,Alaska,District 6,Other,,995.0
41269,2016,Alaska,District 7,Hillary Clinton,DEM,1510.0
41270,2016,Alaska,District 7,Donald Trump,REP,5935.0
41271,2016,Alaska,District 7,Other,,849.0
41272,2016,Alaska,District 8,Hillary Clinton,DEM,1218.0
41273,2016,Alaska,District 8,Donald Trump,REP,6126.0
41274,2016,Alaska,District 8,Other,,729.0
41275,2016,Alaska,District 9,Hillary Clinton,DEM,1843.0
41276,2016,Alaska,District 9,Donald Trump,REP,6100.0
41277,2016,Alaska,District 9,Other,,1011.0
41278,2016,Alaska,District 10,Hillary Clinton,DEM,1808.0
41279,2016,Alaska,District 10,Donald Trump,REP,6255.0
41280,2016,Alaska,District 10,Other,,977.0
41281,2016,Alaska,District 11,Hillary Clinton,DEM,2142.0
41282,2016,Alaska,District 11,Donald Trump,REP,6444.0
41283,2016,Alaska,District 11,Other,,1103.0
41284,2016,Alaska,District 12,Hillary Clinton,DEM,1928.0
41285,2016,Alaska,District 12,Donald Trump,REP,6629.0
41286,2016,Alaska,District 12,Other,,986.0
41287,2016,Alaska,District 13,Hillary Clinton,DEM,1684.0
41288,2016,Alaska,District 13,Donald Trump,REP,4028.0
41289,2016,Alaska,District 13,Other,,821.0
41290,2016,Alaska,District 14,Hillary Clinton,DEM,3043.0
41291,2016,Alaska,District 14,Donald Trump,REP,5978.0
41292,2016,Alaska,District 14,Other,,1399.0
41293,2016,Alaska,District 15,Hillary Clinton,DEM,1828.0
41294,2016,Alaska,District 15,Donald Trump,REP,2525.0
41295,2016,Alaska,District 15,Other,,629.0
41296,2016,Alaska,District 16,Hillary Clinton,DEM,3294.0
41297,2016,Alaska,District 16,Donald Trump,REP,3203.0
41298,2016,Alaska,District 16,Other,,939.0
41299,2016,Alaska,District 17,Hillary Clinton,DEM,3290.0
41300,2016,Alaska,District 17,Donald Trump,REP,2618.0
41301,2016,Alaska,District 17,Other,,880.0
41302,2016,Alaska,District 18,Hillary Clinton,DEM,3909.0
41303,2016,Alaska,District 18,Donald Trump,REP,2684.0
41304,2016,Alaska,District 18,Other,,809.0
41305,2016,Alaska,District 19,Hillary Clinton,DEM,2669.0
41306,2016,Alaska,District 19,Donald Trump,REP,1636.0
41307,2016,Alaska,District 19,Other,,487.0
41308,2016,Alaska,District 20,Hillary Clinton,DEM,4151.0
41309,2016,Alaska,District 20,Donald Trump,REP,2187.0
41310,2016,Alaska,District 20,Other,,802.0
