year,candidate_ID,candidate_votes,total_votes,county_state_ID
2016,c2,5978.0,9934,100
2016,c1,2732.0,9934,100
2016,c2,4220.0,9431,101
2016,c1,3955.0,9431,101
2016,c2,3749.0,9042,102
2016,c1,4105.0,9042,102
2016,c2,2693.0,8264,103
2016,c1,4460.0,8264,103
2016,c2,2421.0,5062,104
2016,c1,1938.0,5062,104
2016,c2,2758.0,5095,105
2016,c1,1143.0,5095,105
2016,c2,3142.0,5639,106
2016,c1,1405.0,5639,106
2016,c2,2338.0,4610,107
2016,c1,1377.0,4610,107
2016,c2,17083.0,27661,108
2016,c1,8240.0,27661,108
2016,c2,17450.0,50015,109
2016,c1,28092.0,50015,109
2016,c2,32404.0,59784,110
2016,c1,21108.0,59784,110
2016,c2,7003.0,22312,111
2016,c1,14182.0,22312,111
2016,c2,3301.0,12134,112
2016,c1,8025.0,12134,112
2016,c2,1092.0,3270,113
2016,c1,1892.0,3270,113
2016,c2,1575.0,5951,114
2016,c1,4003.0,5951,114
2016,c2,702907.0,1567834,115
2016,c1,747361.0,1567834,115
2016,c2,17455.0,79943,116
2016,c1,58282.0,79943,116
2016,c2,16459.0,40294,117
2016,c1,20577.0,40294,117
2016,c2,224661.0,421640,118
2016,c1,167428.0,421640,118
2016,c2,47892.0,129546,119
2016,c1,72819.0,129546,119
2016,c2,11690.0,16433,120
2016,c1,3897.0,16433,120
2016,c2,35590.0,114450,121
2016,c1,71330.0,114450,121
2016,c2,24605.0,53010,122
2016,c1,25165.0,53010,122
2016,c2,1939.0,6212,123
2016,c1,3826.0,6212,123
2016,c2,2408.0,8083,124
2016,c1,5338.0,8083,124
2016,c2,4169.0,19766,125
2016,c1,14682.0,19766,125
2016,c2,28005.0,96824,126
2016,c1,60871.0,96824,126
2016,c2,2926.0,16111,127
2016,c1,12235.0,16111,127
2016,c2,1317.0,3653,128
2016,c1,2164.0,3653,128
2016,c2,639.0,2269,129
2016,c1,1556.0,2269,129
2016,c2,3342.0,10758,130
2016,c1,6786.0,10758,130
2016,c2,2350.0,4176,131
2016,c1,1716.0,4176,131
2016,c2,3620.0,8526,132
2016,c1,4404.0,8526,132
2016,c2,1199.0,5200,133
2016,c1,3781.0,5200,133
2016,c2,2101.0,12085,134
2016,c1,9458.0,12085,134
2016,c2,723.0,3354,135
2016,c1,2462.0,3354,135
2016,c2,3140.0,8887,136
2016,c1,5456.0,8887,136
2016,c2,2656.0,7927,137
2016,c1,4849.0,7927,137
2016,c2,10538.0,35573,138
2016,c1,22892.0,35573,138
2016,c2,4488.0,22450,139
2016,c1,16686.0,22450,139
2016,c2,8410.0,15952,140
2016,c1,6964.0,15952,140
2016,c2,1999.0,6874,141
2016,c1,4584.0,6874,141
2016,c2,1165.0,2771,142
2016,c1,1509.0,2771,142
2016,c2,2228.0,4257,143
2016,c1,1919.0,4257,143
2016,c2,2365.0,6595,144
2016,c1,3968.0,6595,144
2016,c2,14629.0,47527,145
2016,c1,29346.0,47527,145
2016,c2,1376.0,6770,146
2016,c1,5039.0,6770,146
2016,c2,1067.0,4772,147
2016,c1,3471.0,4772,147
2016,c2,12311.0,40805,148
2016,c1,26087.0,40805,148
2016,c2,1373.0,7445,149
2016,c1,5725.0,7445,149
2016,c2,3071.0,14600,150
2016,c1,10720.0,14600,150
2016,c2,2377.0,7049,151
2016,c1,4401.0,7049,151
2016,c2,3149.0,11944,152
2016,c1,8172.0,11944,152
2016,c2,1351.0,4674,153
2016,c1,3157.0,4674,153
2016,c2,2881.0,13614,154
2016,c1,9936.0,13614,154
2016,c2,1113.0,5448,155
2016,c1,4042.0,5448,155
2016,c2,1583.0,5156,156
2016,c1,3267.0,5156,156
2016,c2,15772.0,25894,157
2016,c1,9250.0,25894,157
2016,c2,2427.0,9112,158
2016,c1,6091.0,9112,158
2016,c2,1032.0,2860,159
2016,c1,1758.0,2860,159
2016,c2,1263.0,5685,160
2016,c1,4064.0,5685,160
2016,c2,1735.0,3026,161
2016,c1,1229.0,3026,161
2016,c2,1252.0,3826,162
2016,c1,2455.0,3826,162
2016,c2,1397.0,5227,163
2016,c1,3605.0,5227,163
2016,c2,1715.0,7921,164
2016,c1,5746.0,7921,164
2016,c2,5664.0,27100,165
2016,c1,19958.0,27100,165
2016,c2,1588.0,6841,166
2016,c1,4928.0,6841,166
2016,c2,1434.0,7107,167
2016,c1,5336.0,7107,167
2016,c2,4273.0,16091,168
2016,c1,11294.0,16091,168
2016,c2,5670.0,13204,169
2016,c1,7061.0,13204,169
2016,c2,1312.0,2884,170
2016,c1,1489.0,2884,170
2016,c2,748.0,3559,171
2016,c1,2643.0,3559,171
2016,c2,1157.0,3246,172
2016,c1,2000.0,3246,172
2016,c2,699.0,3753,173
2016,c1,2875.0,3753,173
2016,c2,4321.0,9935,174
2016,c1,5351.0,9935,174
2016,c2,1049.0,4306,175
2016,c1,3008.0,4306,175
2016,c2,4310.0,6953,176
2016,c1,2446.0,6953,176
2016,c2,685.0,3981,177
2016,c1,3150.0,3981,177
2016,c2,1880.0,7722,178
2016,c1,5502.0,7722,178
2016,c2,1212.0,8231,179
2016,c1,6618.0,8231,179
2016,c2,5000.0,22569,180
2016,c1,16256.0,22569,180
2016,c2,814.0,3444,181
2016,c1,2505.0,3444,181
2016,c2,89574.0,159776,182
2016,c1,61257.0,159776,182
2016,c2,1425.0,6379,183
2016,c1,4509.0,6379,183
2016,c2,4031.0,7430,184
2016,c1,3195.0,7430,184
2016,c2,13256.0,52100,185
2016,c1,35863.0,52100,185
2016,c2,602.0,3510,186
2016,c1,2731.0,3510,186
2016,c2,601.0,3728,187
2016,c1,2955.0,3728,187
2016,c2,12300.0,44637,188
2016,c1,29127.0,44637,188
2016,c2,1075.0,4562,189
2016,c1,3282.0,4562,189
2016,c2,1472.0,7249,190
2016,c1,5407.0,7249,190
2016,c2,1203.0,5618,191
2016,c1,4113.0,5618,191
2016,c2,5855.0,16894,192
2016,c1,10456.0,16894,192
2016,c2,1549.0,7339,193
2016,c1,5382.0,7339,193
2016,c2,33366.0,81861,194
2016,c1,41476.0,81861,194
2016,c2,5170.0,27219,195
2016,c1,21077.0,27219,195
2016,c2,1118.0,2571,196
2016,c1,1347.0,2571,196
2016,c2,1480.0,6439,197
2016,c1,4608.0,6439,197
2016,c2,514842.0,654266,198
2016,c1,95922.0,654266,198
2016,c2,334.0,602,199
2016,c1,217.0,602,199
2016,c2,6004.0,17734,200
2016,c1,10485.0,17734,200
2016,c2,41567.0,95564,201
2016,c1,45144.0,95564,201
2016,c2,7944.0,23136,202
2016,c1,13511.0,23136,202
2016,c2,2661.0,6632,203
2016,c1,3551.0,6632,203
2016,c2,319287.0,466175,204
2016,c1,115956.0,466175,204
2016,c2,3485.0,9558,205
2016,c1,5134.0,9558,205
2016,c2,36404.0,93591,206
2016,c1,49247.0,93591,206
2016,c2,141341.0,282319,207
2016,c1,124049.0,282319,207
2016,c2,3065.0,9470,208
2016,c1,5788.0,9470,208
2016,c2,33200.0,59246,209
2016,c1,18373.0,59246,209
2016,c2,32667.0,48091,210
2016,c1,12704.0,48091,210
2016,c2,3155.0,8086,211
2016,c1,4248.0,8086,211
2016,c2,98689.0,244163,212
2016,c1,129584.0,244163,212
2016,c2,13617.0,33915,213
2016,c1,18093.0,33915,213
2016,c2,11496.0,24496,214
2016,c1,10599.0,24496,214
2016,c2,2224.0,10524,215
2016,c1,7574.0,10524,215
2016,c2,2464364.0,3434308,216
2016,c1,769743.0,3434308,216
2016,c2,17029.0,43112,217
2016,c1,23357.0,43112,217
2016,c2,108707.0,139273,218
2016,c1,21771.0,139273,218
2016,c2,3122.0,8877,219
2016,c1,5185.0,8877,219
2016,c2,22079.0,37477,220
2016,c1,10888.0,37477,220
2016,c2,37317.0,70789,221
2016,c1,28725.0,70789,221
2016,c2,877.0,3788,222
2016,c1,2696.0,3788,222
2016,c2,2773.0,5276,223
2016,c1,2111.0,5276,223
2016,c2,89088.0,133408,224
2016,c1,34895.0,133408,224
2016,c2,39199.0,61372,225
2016,c1,17411.0,61372,225
2016,c2,26053.0,54935,226
2016,c1,23365.0,54935,226
2016,c2,609961.0,1197521,227
2016,c1,507148.0,1197521,227
2016,c2,73509.0,182839,228
2016,c1,95138.0,182839,228
2016,c2,3459.0,9676,229
2016,c1,5420.0,9676,229
2016,c2,373695.0,751391,230
2016,c1,333243.0,751391,230
2016,c2,326023.0,559330,231
2016,c1,189789.0,559330,231
2016,c2,12521.0,21924,232
2016,c1,7841.0,21924,232
2016,c2,340833.0,653983,233
2016,c1,271240.0,653983,233
2016,c2,735476.0,1306400,234
2016,c1,477766.0,1306400,234
2016,c2,345084.0,405792,235
2016,c1,37688.0,405792,235
2016,c2,121124.0,224166,236
2016,c1,88936.0,224166,236
2016,c2,67107.0,135009,237
2016,c1,56164.0,135009,237
2016,c2,237882.0,314384,238
2016,c1,57929.0,314384,238
2016,c2,107142.0,176786,239
2016,c1,56365.0,176786,239
2016,c2,511684.0,703709,240
2016,c1,144826.0,703709,240
2016,c2,95249.0,128821,241
2016,c1,22438.0,128821,241
2016,c2,22301.0,80053,242
2016,c1,51778.0,80053,242
2016,c2,601.0,1830,243
2016,c1,1048.0,1830,243
2016,c2,7234.0,20492,244
2016,c1,11341.0,20492,244
2016,c2,102360.0,166113,245
2016,c1,51920.0,166113,245
2016,c2,160435.0,231253,246
2016,c1,51408.0,231253,246
2016,c2,81647.0,172146,247
2016,c1,78494.0,172146,247
2016,c2,13076.0,33523,248
2016,c1,18176.0,33523,248
2016,c2,6809.0,23908,249
2016,c1,15494.0,23908,249
2016,c2,2214.0,5686,250
2016,c1,2812.0,5686,250
2016,c2,47585.0,112334,251
2016,c1,58299.0,112334,251
2016,c2,9123.0,25529,252
2016,c1,14551.0,25529,252
